stock_code,corp_name,report_name,rcept_dt,rcept_no,corp_cls,keywords,severity,relief_flag
015360,INVENI,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000434,Y,주요주주변동,1,False
015360,INVENI,주식등의대량보유상황보고서(일반),20260630,20260630000433,Y,대량보유,1,False
004060,SG세계물산,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000416,Y,주요주주변동,1,False
004060,SG세계물산,최대주주등소유주식변동신고서(최대주주변경시)              ,20260630,20260630800447,Y,최대주주변경,2,False
005110,한창,[기재정정]주요사항보고서(유상증자결정),20260630,20260630000391,Y,유상증자,3,False
004080,신흥,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000395,Y,주요주주변동,1,False
004060,SG세계물산,주식등의대량보유상황보고서(일반),20260630,20260630000387,Y,대량보유,1,False
026890,스틱인베스트먼트,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000384,Y,주요주주변동,1,False
001380,SG글로벌,최대주주등소유주식변동신고서(최대주주변경시)              ,20260630,20260630800389,Y,최대주주변경,2,False
006340,대원전선,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000369,Y,주요주주변동,1,False
001380,SG글로벌,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000365,Y,주요주주변동,1,False
248070,솔루엠,주식등의대량보유상황보고서(일반),20260630,20260630000364,Y,대량보유,1,False
006340,대원전선,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000363,Y,주요주주변동,1,False
001380,SG글로벌,주식등의대량보유상황보고서(일반),20260630,20260630000360,Y,대량보유,1,False
248070,솔루엠,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000357,Y,주요주주변동,1,False
018260,삼성에스디에스,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000344,Y,주요주주변동,1,False
001520,동양,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000309,Y,주요주주변동,1,False
068290,삼성출판사,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000302,Y,주요주주변동,1,False
001520,동양,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000300,Y,주요주주변동,1,False
018260,삼성에스디에스,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000278,Y,주요주주변동,1,False
000050,경방,주식등의대량보유상황보고서(일반),20260630,20260630000187,Y,대량보유,1,False
004080,신흥,주식등의대량보유상황보고서(일반),20260630,20260630000183,Y,대량보유,1,False
004080,신흥,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000179,Y,주요주주변동,1,False
139130,iM금융지주,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000109,Y,주요주주변동,1,False
000100,유한양행,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000106,Y,주요주주변동,1,False
003920,남양유업,임원ㆍ주요주주특정증권등소유상황보고서,20260630,20260630000055,Y,주요주주변동,1,False
014990,인디에프,주식등의대량보유상황보고서(일반),20260629,20260629000528,Y,대량보유,1,False
089590,제주항공,주식등의대량보유상황보고서(일반),20260629,20260629000525,Y,대량보유,1,False
007460,에이프로젠,[기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정),20260629,20260629801147,Y,유상증자,3,False
024720,콜마홀딩스,주식등의대량보유상황보고서(일반),20260629,20260629000518,Y,대량보유,1,False
068270,셀트리온,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000509,Y,주요주주변동,1,False
403550,쏘카,[기재정정]유상증자결정(종속회사의주요경영사항)              ,20260629,20260629801126,Y,유상증자,3,False
005320,온타이드,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000493,Y,주요주주변동,1,False
008730,율촌화학,주식등의대량보유상황보고서(일반),20260629,20260629000492,Y,대량보유,1,False
005320,온타이드,주식등의대량보유상황보고서(일반),20260629,20260629000490,Y,대량보유,1,False
248070,솔루엠,자기주식처분결과보고서,20260629,20260629000482,Y,자사주처분,2,False
003300,한일홀딩스,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000474,Y,주요주주변동,1,False
011070,LG이노텍,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000455,Y,주요주주변동,1,False
006570,대림통상,주식등의대량보유상황보고서(일반),20260629,20260629000442,Y,대량보유,1,False
007460,에이프로젠,[기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              ,20260629,20260629800885,Y,"CB,CB발행",2,False
006570,대림통상,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000441,Y,주요주주변동,1,False
092790,넥스틸,[기재정정]주요사항보고서(전환사채권발행결정),20260629,20260629000433,Y,"CB,CB발행",2,False
002070,비비안,[기재정정]주요사항보고서(유상증자결정),20260629,20260629000409,Y,유상증자,3,False
403550,쏘카,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000430,Y,주요주주변동,1,False
403550,쏘카,주식등의대량보유상황보고서(일반),20260629,20260629000423,Y,대량보유,1,False
003060,에이프로젠바이오로직스,[기재정정]주요사항보고서(전환사채권발행결정),20260629,20260629000396,Y,"CB,CB발행",2,False
011000,진원생명과학,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000401,Y,주요주주변동,1,False
008870,금비,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000399,Y,주요주주변동,1,False
011000,진원생명과학,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,20260629,20260629800839,Y,"신주인수권,신주인수권행사",3,False
011000,진원생명과학,주식등의대량보유상황보고서(일반),20260629,20260629000390,Y,대량보유,1,False
006490,프리티,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000371,Y,주요주주변동,1,False
014990,인디에프,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000343,Y,주요주주변동,1,False
014530,극동유화,주식등의대량보유상황보고서(일반),20260629,20260629000337,Y,대량보유,1,False
011070,LG이노텍,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000215,Y,주요주주변동,1,False
143210,핸즈코퍼레이션,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000194,Y,주요주주변동,1,False
017040,광명전기,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000168,Y,주요주주변동,1,False
018260,삼성에스디에스,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000162,Y,주요주주변동,1,False
118000,메타케어,주식등의대량보유상황보고서(일반),20260629,20260629000153,Y,대량보유,1,False
118000,메타케어,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000149,Y,주요주주변동,1,False
143210,핸즈코퍼레이션,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000134,Y,주요주주변동,1,False
010140,삼성중공업,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000133,Y,주요주주변동,1,False
143210,핸즈코퍼레이션,주식등의대량보유상황보고서(일반),20260629,20260629000114,Y,대량보유,1,False
004140,동방,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000097,Y,주요주주변동,1,False
118000,메타케어,[기재정정]주요사항보고서(유상증자결정),20260629,20260629000090,Y,유상증자,3,False
001390,KG케미칼,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000076,Y,주요주주변동,1,False
018260,삼성에스디에스,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000070,Y,주요주주변동,1,False
001390,KG케미칼,주식등의대량보유상황보고서(일반),20260629,20260629000055,Y,대량보유,1,False
011930,신성이엔지,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000030,Y,주요주주변동,1,False
011930,신성이엔지,임원ㆍ주요주주특정증권등소유상황보고서,20260629,20260629000018,Y,주요주주변동,1,False
001470,삼부토건,주요사항보고서(유상증자결정),20260629,20260626000774,Y,유상증자,3,False
001470,삼부토건,주요사항보고서(감자결정),20260629,20260626000773,Y,감자,3,False
001470,삼부토건,주요사항보고서(유상증자결정),20260629,20260626000772,Y,유상증자,3,False
001470,삼부토건,주요사항보고서(감자결정),20260629,20260626000771,Y,감자,3,False
007980,TP,주요사항보고서(자기주식처분결정),20260626,20260626000762,Y,자사주처분,2,False
003690,코리안리,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000764,Y,주요주주변동,1,False
185750,종근당,주식등의대량보유상황보고서(약식),20260626,20260626000723,Y,대량보유,1,False
210980,SK디앤디,주식등의대량보유상황보고서(일반),20260626,20260626000714,Y,대량보유,1,False
244920,에이플러스에셋,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000700,Y,주요주주변동,1,False
003470,유안타증권,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000699,Y,주요주주변동,1,False
022100,포스코DX,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000691,Y,주요주주변동,1,False
012630,HDC,주식등의대량보유상황보고서(일반),20260626,20260626000688,Y,대량보유,1,False
381970,케이카,[기재정정]주식등의대량보유상황보고서(일반),20260626,20260626000686,Y,대량보유,1,False
026890,스틱인베스트먼트,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000681,Y,주요주주변동,1,False
005930,삼성전자,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000675,Y,주요주주변동,1,False
006570,대림통상,주식등의대량보유상황보고서(일반),20260626,20260626000670,Y,대량보유,1,False
006570,대림통상,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000667,Y,주요주주변동,1,False
138040,메리츠금융지주,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000656,Y,주요주주변동,1,False
361610,SK아이이테크놀로지,유상증자결정(종속회사의주요경영사항)              ,20260626,20260626800939,Y,유상증자,3,False
138040,메리츠금융지주,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000637,Y,주요주주변동,1,False
006740,블루산업개발,[기재정정]주요사항보고서(유상증자결정),20260626,20260626000587,Y,유상증자,3,False
006740,블루산업개발,[기재정정]주요사항보고서(유상증자결정),20260626,20260626000579,Y,유상증자,3,False
006740,블루산업개발,[기재정정]주요사항보고서(유상증자결정),20260626,20260626000569,Y,유상증자,3,False
004690,삼천리,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000624,Y,주요주주변동,1,False
105560,KB금융,유상증자결정(자회사의 주요경영사항)              ,20260626,20260626800874,Y,유상증자,3,False
005930,삼성전자,임원ㆍ주요주주특정증권등소유상황보고서,20260626,20260626000597,Y,주요주주변동,1,False
